"ontology/deathPlace_label","ontology/birthYear"
"Basel | Switzerland","1820"
"Seaford East Sussex","1873"
"Somalia | Mogadishu","1969"
"Philippines | Quezon City","1950"
"Lisbon | Portugal","1859"
"Switzerland | Zürich","1953"
"Paraguay | Asunción","1894"
"Montreal","1876"
"Austria-Hungary | Ivano-Frankivsk","1831"
"Indonesia | Jakarta","1884"
"Istanbul","1937"
"Skopje | Republic of Macedonia","1949"
"Paris | Île-de-France | France","1830"
"Istanbul","1954"
"Kingston Ontario","1918"
"London | England","1934"
"France | Sternenberg","1920"
"Montreal | Quebec","1945"
"Republic of Ireland | County Meath | Navan","1928"
"Somalia","1958"
"Italy | Rome","1904"
"Norway | Oslo","1878"
"Rome | Kingdom of Italy","1822"
"Venezuela | Caracas","1927"
"Bethesda Maryland","1929"
"New Jersey | United States","1897"
"Potomac Maryland","1925"
"Paarl","1847"
"Hinsdale Illinois","1949"
"Syrian Desert","1983"
"Karachi | Pakistan","1944"
"India | Delhi","1905"
"India | Faridabad","1913"
"Azerbaijan | Lachin | Böyük Galadərəsi","1961"
"Kolkata","1913"
"Louisiana | Ouachita Parish Louisiana | Monroe Louisiana","1933"
"Beirut | Achrafieh","1960"
"Brooklyn | United States","1795"
"Maryland | Prince George's County Maryland | Cheverly Maryland","1947"
"Dili | East Timor","1969 | 1968"
"Virginia | Arlington County Virginia","1969"
"India | Kochi | Cherai","1924"
"Louisiana | Avoyelles Parish Louisiana | Bunkie Louisiana","1918"
"Dublin","1889"
"Havana | Cuba","1869"
"Pound Ridge New York","1913"
"Amman | Jordan","1903"
"Arcadia California","1922"
"Ramat HaSharon | Israel","1928"
"Wayland Massachusetts | Massachusetts","1794"
"Louisiana | New Orleans | United States","1961"
"Howard University Hospital","1942"
"Houston | Texas | Harris County Texas","1921"
"Louisiana | Webster Parish Louisiana | Minden Louisiana | United States","1876"
"Berlin | Germany","1916"
"Multnomah County Oregon | United States","1954"
"Dole Ceredigion | Wales | Ceredigion","1877"
"Japan | Tokyo | Delhi","1957"
"Germany | Potsdam","1940"
"Brazil | Rio de Janeiro | Rio de Janeiro (state)","1851"
"Chelsea London | England","1931"
"Phoenix Arizona | Arizona","1928"
"Port Kaituma | Guyana","1936"
"Seattle | Washington (state)","1911"
"London","1933"
"Cleveland","1893"
"New York City","1913"
"Marylebone","1882"
"Texas | San Antonio","1943"
"East Village Manhattan | New York City","1946"
"Chișinău","1895"
"Woodland Hills Los Angeles","1902"
"Hungary | Budapest","1972"
"Los Angeles","1950"
"Madison County Mississippi | Ridgeland Mississippi | Mississippi","1942 | 1943"
"Philippines | Quezon City","1980"
"Texas | Smith County Texas | Tyler Texas","1913"
"Washington D.C.","1916"
"San Francisco | United States","1861"
"Queensland | Brisbane","1865"
"Silver Spring Maryland | United States","1791"
"Matamoros Tamaulipas | Mexico","1949"
"Macuto Vargas","1841"
"Bogotá | United Provinces of New Granada | Free and Independent State of Cundinamarca","1768"
"Brazil | Rio de Janeiro | Rio de Janeiro (state)","1825"
"Turin","1920"
"Washington D.C.","1924"
"Los Angeles","1908"
"California | Palm Springs California","1892"
"Minas Gerais | First Brazilian Republic | Poços de Caldas","1838"
"Yvelines | Marly-le-Roi | France","1931"
"Toronto","1918"
"Toronto","1863"
"Haverfordwest | Wales | Pembrokeshire","1921"
"Cairo | Egypt","1896"
"Paris | France","1909"
"California | Los Angeles | United States","1883"
"Colombia | Antioquia Department | Medellín","1854"
"Antalya | Turkey","1926"
"Russian Empire | Governorate (Russia)","1838"
"Italy | Milan","1875"
"West Yorkshire | Leeds | England","1969"
"McLean Virginia","1934"
"Atlanta | Georgia (U.S. state)","1919"
"Belfast | Northern Ireland","1943"
"Queensland | Brisbane | Wynnum Queensland | Australia","1847"
"Texas","1927"
"Manhattan | United States | New York","1945"
"United States","1857"
"New Zealand | Auckland","1831"
"Greece","1913"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana | United States","1914"
"Bantam Connecticut","1877"
"Blackpool","1849"
"London | Knightsbridge","1947"
"New York City | United States | New York","1950"
"Uruapan","1983"
"Chișinău","1918"
"Italy | Rome","1924"
"Athens | Greece","1930"
"Mexico City | Mexico","1892"
"California | Long Beach California","1936"
"Bhubaneswar","1932 | 1933"
"Brazil | Rio de Janeiro","1892"
"Hollywood","1865"
"Maryland | United States | Baltimore","1951"
"California | Los Angeles","1850"
"Năpădeni","1875"
"Louisiana | Natchitoches Louisiana","1922"
"Visby | Sweden","1932"
"Switzerland | Langnau im Emmental","1889"
"The Bronx","1872"
"Toronto | Canada | Ontario","1913"
"Berlin | East Germany","1901"
"New York City","1888"
"New York | Kingston New York","1918"
"Ankara | Turkey","1954"
"London | England","1774"
"Tokyo","1901"
"Istanbul | Turkey","1954"
"Victoria (Australia) | Australia | Murrindindi Victoria","1893"
"South Carolina","1921"
"Paris | France","1925"
"Germany | Hamburg","1945 | 1927"
"Los Angeles | United States","1884"
"Berlin | Germany","1926"
"Tyrol (state) | Kufstein | County of Tyrol | Austria","1903"
"Dielsdorf","1888"
"India | Delhi","1901"
"Kolkata | Bengal Presidency | Presidencies and provinces of British India","1824"
"Ridgewood New Jersey","1947"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana | United States","1945"
"London | England","1876"
"Omaha Nebraska","1882"
"New York City","1900"
"United Kingdom | Chorlton-on-Medlock | England","1889"
"California | Monterey California","1900"
"Netherlands | Rotterdam","1926"
"Canada | Montreal","1881"
"Johannesburg | Melville Gauteng | South Africa","1947"
"Regensburg","1868"
"Berlin | Germany","1915"
"Alexandria Louisiana | Louisiana | Rapides Parish Louisiana","1918"
"Athens | Greece","1911"
"Germany | Hamburg","1934"
"Équemauville | France","1900"
"New York City","1805"
"New York City","1862"
"South Carolina","1794"
"California | Daly City California | United States","1932"
"Sheffield Massachusetts | Massachusetts | United States","1876"
"Cairo | Egypt | Rabi'a al-'Adawiyya","1986"
"Baghdad | Iraq","1967"
"Romania | Bucharest","1904"
"Pakistan | Hyderabad Sindh","1935"
"Kraków","1912"
"Mexico City","1887"
"Spain | Madrid","1926"
"Texas | Plano Texas | United States","1945"
"Belfast | Northern Ireland","1945"
"Louisiana | Baton Rouge Louisiana","1937"
"London","1947"
"Barcelona | Spain","1943"
"Barcelona | Spain","1919"
"Fergus Ontario | Canada","1947"
"Norway | Oslo","1915"
"Pomfret Connecticut | United States","1856"
"Tacoma Washington","1848"
"Liberia | Cape Palmas","1799"
"New Haven Connecticut","1903"
"Princeton New Jersey | United States","1927"
"New York City","1863"
"Litchfield Connecticut","1892"
"Toronto | Canada","1916"
"Slovenia | Ljubljana","1937"
"Istanbul | Turkey","1844"
"Connecticut | Greenwich Connecticut","1921"
"Chicago","1920"
"Paris","1743"
"Winnipeg | Manitoba","1928"
"Abilene Texas","1979"
"Whitewater Wisconsin","1840"
